StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q5,Q6,Q7
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,Q_RecaptchaScore,What is your job role?,Has the pandemic affected your car sales?,Do you use TikTok Automobile Live Streaming Platform?,How well do you know TikTok Automobile Live Streaming?,What is your attitude towards TikTok Automobile Live Streaming?,How has your customer volume changed through TikTok automobile live streaming?,How has your car sales volume changed through TikTok automobile live streaming?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",{"ImportId":"progress"},{"ImportId":"duration"},{"ImportId":"finished"},"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",{"ImportId":"_recordId"},{"ImportId":"recipientLastName"},{"ImportId":"recipientFirstName"},{"ImportId":"recipientEmail"},{"ImportId":"externalDataReference"},{"ImportId":"distributionChannel"},{"ImportId":"userLanguage"},{"ImportId":"Q_RecaptchaScore"},{"ImportId":"QID1"},{"ImportId":"QID2"},{"ImportId":"QID3"},{"ImportId":"QID5"},{"ImportId":"QID6"},{"ImportId":"QID7"},{"ImportId":"QID8"}
5/1/2022 16:02,5/1/2022 16:03,100,22,TRUE,5/1/2022 16:03,R_21nghy7lyNmKS0o,,,,,anonymous,EN,1,Car Sales,"Yes, there is a great impact","Don't use TikTok to sell cars, sell cars completely in physical stores","I know it very well, and have unique experience in using TikTok automobile live streaming","Very accept it, TikTok live car selling is very effective",Large increase in customers (50+),"Through TikTok automobile livestreaming, car sales volume have increased significantly"
5/1/2022 17:13,5/1/2022 17:13,100,14,TRUE,5/1/2022 17:13,R_1mQq0ht5dYqOiJw,,,,,anonymous,EN,1,Automobile Dealers,"Yes, there is a great impact","Yes, often use TikTok live streaming car sales","I know it very well, and have unique experience in using TikTok automobile live streaming","Very accept it, TikTok live car selling is very effective",Large increase in customers (50+),"Through TikTok automobile livestreaming, car sales volume have increased significantly"
5/1/2022 17:21,5/1/2022 17:21,100,35,TRUE,5/1/2022 17:21,R_1FtVU3tXbbtaWsj,,,,,anonymous,EN,0.899999976,Automobile Dealers,"Yes, there is a great impact","Yes, often use TikTok live streaming car sales","I know it very well, and have unique experience in using TikTok automobile live streaming","Very accept it, TikTok live car selling is very effective",Large increase in customers (50+),"Through TikTok automobile livestreaming, car sales volume have increased significantly"
5/1/2022 19:31,5/1/2022 19:31,100,22,TRUE,5/1/2022 19:31,R_szHmtRN5L2DC5Wx,,,,,anonymous,EN,1,Automobile Company Employees,"Yes, there is a great impact","Yes, occasionally use TikTok for live streaming","I generally know it, but I just open automobile live streaming randomly","Very accept it, TikTok live car selling is very effective",Large increase in customers (50+),"Through TikTok automobile livestreaming, car sales volume have increased significantly"
5/1/2022 22:34,5/1/2022 22:34,100,15,TRUE,5/1/2022 22:34,R_1ds1EsX6EfjvmPW,,,,,anonymous,EN,0.899999976,Car Sales,"Yes, there is a great impact","Yes, often use TikTok live streaming car sales","I know it very well, and have unique experience in using TikTok automobile live streaming","Very accept it, TikTok live car selling is very effective",Large increase in customers (50+),"Through TikTok automobile livestreaming, car sales volume have increased significantly"
5/1/2022 22:34,5/1/2022 22:34,100,13,TRUE,5/1/2022 22:34,R_2eWqa0tV2N5RMAP,,,,,anonymous,EN,1,Automobile Dealers,"Yes, there is a great impact","Yes, often use TikTok live streaming car sales","I know it very well, and have unique experience in using TikTok automobile live streaming","Very accept it, TikTok live car selling is very effective",Large increase in customers (50+),"Through TikTok automobile livestreaming, car sales volume have increased significantly"
5/2/2022 7:45,5/2/2022 7:45,100,18,TRUE,5/2/2022 7:45,R_eKdEogz5CE2nyzn,,,,,anonymous,EN,0.899999976,Car Sales,"Yes, there is a great impact","Yes, often use TikTok live streaming car sales","I know it very well, and have unique experience in using TikTok automobile live streaming","Very accept it, TikTok live car selling is very effective",Large increase in customers (50+),"Through TikTok automobile livestreaming, car sales volume have increased significantly"
5/2/2022 8:38,5/2/2022 8:39,100,68,TRUE,5/2/2022 8:39,R_24N4suo1fz8QsRk,,,,,anonymous,EN,,Automobile Dealers,"Yes, there is a great impact","Yes, often use TikTok live streaming car sales","I generally know it, but I just open automobile live streaming randomly","Generally accept it, with the attitude of trying",A little increase in users (10-50),"Through TikTok automobile livestreaming, car sales volume have increased in general"
